convince	k ə n v ɪ n s
reconnoiters	ɹ ɛ k ə n ɔ ɪ t ɚ s
azores	e ɪ z ɔ ɹ z
tribal	t ɹ a ɪ b ə l
hexagram	h ɛ k s ə ɡ ɹ æ m
gliflozin	ɡ l ɪ f l o ʊ z ɪ n
theomachist	θ i ɑ m æ k ɪ s t
pinho	p ɪ n o ʊ
motherly	m ʌ ð ɚ l i
hopeful	h o ʊ p f ə l
highly	h a ɪ l i
antiope	æ n t a ɪ ə p i
gaming	ɡ e ɪ m ɪ ŋ
rune	ɹ u n
override	o ʊ v ə ɹ ɹ a ɪ d
loggerhead	l ɔ ɡ ɚ h ɛ d
burglary	b ɜ ɹ ɡ l ə ɹ i
lonely	l o ʊ n l i
pixelated	p ɪ k s ə l e ɪ t ə d
sag	s æ ɡ
pandemic	p æ n d ɛ m ɪ k
archaicity	ɑ ɹ k e ɪ ɪ s ɪ t i
creed	k ɹ i d
kicks	k ɪ k s
fireman	f a ɪ ɹ m ə n
kore	k ɔ ɹ e ɪ
avril	æ v ɹ ɪ l
convincing	k ə n v ɪ n s ɪ ŋ
spiny	s p a ɪ n i
phonologise	f ə n ɔ l ə d͡ʒ a ɪ z
spunk	s p ʌ ŋ k
creeds	k ɹ i d z
relevant	ɹ ɛ l ə v ə n t
funkadelic	f ʌ ŋ k ə d ɛ l ɪ k
jesuit	d͡ʒ ɛ z u ɪ t
baxter	b æ k s t ɚ
spud	s p ʌ d
abednego	ə b ɛ d n ɪ ɡ o ʊ
gifted	ɡ ɪ f t ɪ d
profundity	p ɹ ə f ʌ n d ɪ t i
spate	s p e ɪ t
bursting	b ɝ s t ɪ ŋ
palaic	p ə l e ɪ ɪ k
newton	n j u t ə n
dace	d e ɪ s
mitanni	m ɪ t æ n i
yups	j ʌ p s
nanoelement	n æ n o ʊ ɛ l ə m ɪ n t
selected	s ɪ l ɛ k t ɪ d
otorhinolaryngologist	ɑ t ɔ ɹ a j n o l æ ɹ ɪ ŋ ɡ ɑ l ə d͡ʒ ɪ s t
saphead	s æ p h ɛ d
miff	m ɪ f
debit	d ɛ b ɪ t
gaga	ɡ ɑ ɡ ɑ
sketch	s k ɛ t͡ʃ
rayon	ɹ e ɪ ɔ n
fed	f ɛ d
moderator	m ɔ d ə ɹ e ɪ t ə ɹ
scran	s k ɹ a n
abanic	ə b æ n ɪ k
moonlight	m u n l a ɪ t
maple	m e ɪ p l̩
guiding	ɡ a ɪ d ɪ ŋ
sophistication	s ə f ɪ s t ɪ k e ɪ ʃ ə n
omen	o ʊ m ə n
titfer	t ɪ t f ɚ
strident	s t ɹ a ɪ d ə n t
hague	h e ɪ ɡ
trumpland	t ɹ ʌ m p l æ n d
exultation	ɛ ɡ z ʌ l t e ɪ ʃ ə n
chelicera	k ə l ɪ s ə ɹ ə
magazines	m æ ɡ ə z i n z
partook	p ɑ ɹ t u k
clutter	k l ʌ t ɚ
imbricated	ɪ m b ɹ ɪ k e ɪ t ɪ d
national	n æ ʃ ə n ə l
glazing	ɡ l e ɪ z ɪ ŋ
ducat	d ʌ k ə t
antler	æ n t l ɚ
beckons	b ɛ k ə n z
twit	t w ɪ t
calumet	k æ l j ʊ m ɛ t
techno	t ɛ k n o ʊ
shimmer	ʃ ɪ m ə ɹ
gars	ɡ ɑ ɹ z
redundant	ɹ ɪ d ʌ n d ə n t
webs	w ɛ b z
safety	s e ɪ f t i
ins	ɪ n z
duffel	d ʌ f ə l
academic	æ k ə d ɛ m ɪ k
contemplated	k ɑ n t ə m p l e ɪ t ɪ d
snackery	s n æ k ə ɹ i
hecka	h ɛ k ə
feudal	f j u d ə l
timing	t a ɪ m ɪ ŋ
betcha	b ɛ t͡ʃ ə
invite	ɪ n v a ɪ t
culm	k ʌ l m
teller	t ɛ l ə ɹ
dessert	d ɪ z ɝ t
tinge	t ɪ n d͡ʒ
nootkatone	n u t k ə t o ʊ n
stringbeany	s t ɹ ɪ ŋ b i n i
yardman	j ɑ ɹ d m ə n
snowflake	s n o ʊ f l e ɪ k
sunny	s ʌ n i
engore	ɪ ŋ ɡ ɔ ɹ
twangle	t w æ ŋ ɡ ə l
syncope	s ɪ ŋ k ə p i
kelly	k ɛ l i
intersect	ɪ n t ɚ s ɛ k t
lithe	l a ɪ ð
varsovian	v ɑ ɹ s o ʊ v i ə n
includes	ɪ n k l u d z
liberty	l ɪ b ɚ t i
steers	s t ɪ ə ɹ z
catnip	k a t n ɪ p
mandate	m æ n d e ɪ t
ignominious	ɪ ɡ n ə m ɪ n ɪ ə s
lectical	l ɛ k t ɪ k ə l
pastrami	p ə s t ɹ ɑ m i
obdormition	ɑ b d ɔ ɹ m ɪ ʃ ə n
chamaephyte	k æ m i f a ɪ t
earache	ɪ ɹ e ɪ k
hyades	h a ɪ ə d i z
rectory	ɹ ɛ k t ə ɹ i
ecological	i k ə l ɔ d͡ʒ ɪ k l̩
hakka	h ɑ k ə
brewing	b ɹ u ɪ ŋ
shipp	ʃ ɪ p
secession	s ə s ɛ ʃ ə n
panacea	p æ n ə s i ə
tokenize	t o ʊ k ə n a ɪ z
shizzle	ʃ ɪ z ə l
brachydactylous	b ɹ æ k ɪ d æ k t ɪ l ə s
greaves	ɡ ɹ i v z
sixteenth	s ɪ k s t i n θ
returning	ɹ ɪ t ɝ n ɪ ŋ
anabolic	æ n ə b ɑ l ɪ k
rebirth	ɹ i b ɝ θ
umbratious	ʌ m b ɹ e ɪ ʃ ə s
acanthostyle	ə k æ n θ ə s t a ɪ l
planctomycete	p l æ ŋ k t ə m a ɪ s i t
miscarry	m ɪ s k æ ɹ i
revengeful	ɹ ɪ v ɛ n d͡ʒ f ʊ l
sinic	s ɪ n ɪ k
hemicryptophyte	h ɛ m ɪ k ɹ ɪ p t o ʊ f a ɪ t
vimineous	v ɪ m ɪ n i ə s
hellespont	h ɛ l ɪ s p ɑ n t
lenses	l ɛ n z ɪ z
springe	s p ɹ ɪ n d͡ʒ
aroused	ə ɹ a ʊ z d
reticule	ɹ ɛ t ɪ k j u l
patio	p æ t i o ʊ
scalpel	s k æ l p ə l
toughen	t ʌ f ə n
decad	d ɛ k æ d
approximately	ə p ɹ ɑ k s ɪ m ə t l i
rock	ɹ ɑ k
aquatecture	ɑ k w ə t ɛ k t͡ʃ ɚ
cheating	t͡ʃ i t ɪ ŋ
sombrero	s ɑ m b ɹ ɛ ɹ o ʊ
dight	d a ɪ t
thole	θ o ʊ l
flubbed	f l ʌ b d
kernel	k ɝ n ə l
outlook	a ʊ t l ʊ k
gusts	ɡ ʌ s t s
taxidermy	t æ k s ɪ d ɚ m i
ouster	a ʊ s t ə ɹ
pawprint	p ɔ p ɹ ɪ n t
lodge	l ɑ d͡ʒ
skippable	s k ɪ p ə b l̩
jabber	d͡ʒ æ b ə ɹ
characteristic	k ɛ ɹ ə k t ə ɹ ɪ s t ɪ k
trent	t ɹ ɛ n t
amusingly	ə m j u z ɪ ŋ l i
bigelow	b ɪ ɡ ə l o ʊ
pinochle	p i n ʌ k l̩
historians	h ɪ s t ɔ ɹ i ə n z
bulked	b ʌ l k t
bailiffs	b e ɪ l ɪ f s
asper	æ s p ə ɹ
glenealy	ɡ l ɛ n i l i
anchorage	æ ŋ k ə ɹ ɪ d͡ʒ
ecdysiast	ɛ k d ɪ z i æ s t
inanimate	ɪ n æ n ɪ m ə t
dartboard	d ɑ ɹ t b ɔ ɹ d
tub	t ʌ b
crashes	k ɹ æ ʃ ɪ z
haywire	h e ɪ w a ɪ ɚ
juco	d͡ʒ u k o ʊ
psychokinesis	s a ɪ k o ʊ k ɪ n i s ɪ s
exocommunication	ɛ ɡ z ɔ k ʌ m j u n ɪ k e ɪ ʃ ə n
estradiol	ɛ s t ɹ ə d a ɪ ɔ l
neatherd	n i t h ɚ d
apodictic	a p o ʊ d ɪ k t ɪ k
negress	n i ɡ ɹ ɪ s
quinidine	k w ɪ n ɪ d i n
rotavirus	ɹ o ʊ t ə v a ɪ ɹ ə s
glagolitic	ɡ l æ ɡ ə l ɪ t ɪ k
casimir	k æ z ɪ m ɪ ə ɹ
ingle	ɪ ŋ ɡ ə l
concluded	k ə n k l u d ɪ d
mollify	m ɔ l ɪ f a ɪ
ballad	b æ l ə d
pice	p a ɪ s
pun	p ʌ n
bumpings	b ʌ m p ɪ ŋ z
perlocution	p ɜ ɹ l ə k j u ʃ ə n
agglutinative	ə ɡ l u t ɪ n ə t ɪ v
vosges	v o ʊ ʒ
considering	k ə n s ɪ d ə ɹ ɪ ŋ
sphex	s f ɛ k s
prevenge	p ɹ ɪ v ɛ n d͡ʒ
thales	θ e ɪ l i z
ecuador	ɛ k w ə d ɔ ɹ
sprawly	s p ɹ ɔ l i
feverishly	f i v ɚ ɪ ʃ l i
laudableness	l ɔ d ə b ə l n ɪ s
usonian	j u s o ʊ n i ə n
tirade	t a ɪ ɹ e ɪ d
sprayer	s p ɹ e ɪ ɚ
lamotrigine	l ə m ɑ t ɹ ɪ d͡ʒ i n
omg	o ʊ ɛ m d͡ʒ i
intelligent	ɪ n t ɛ l ɪ d͡ʒ ə n t
chirr	t͡ʃ ɝ
lombardy	l ɑ m b ə ɹ d i
syrian	s ɪ ɹ i ə n
inquiring	ɪ n k w a ɪ ɹ ɪ ŋ
patriotism	p e ɪ t ɹ i ə t ɪ z ə m
aroint	ə ɹ ɔ ɪ n t
orgone	ɔ ɡ o ʊ n
flubbing	f l ʌ b ɪ ŋ
vfat	v i f æ t
gymnastic	d͡ʒ ɪ m n æ s t ɪ k
pointing	p ɔ ɪ n t ɪ ŋ
kashan	k ɑ ʃ ɑ n
perahu	p ɹ ɑ h u
loosely	l u s l i
lingua	l ɪ ŋ ɡ w ə
adr	e ɪ d i ɑ ɹ
fused	f j u z d
inexpiate	ɪ n ɛ k s p i ə t
indignation	ɪ n d ɪ ɡ n e ɪ ʃ ə n
ulna	ʌ l n ə
waff	w æ f
swap	s w ɔ p
altaic	æ l t e ɪ ɪ k
cloze	k l o ʊ z
metanym	m ɛ t ə n ɪ m
heroic	h ɪ ɹ o ʊ ɪ k
injective	ɪ n d͡ʒ ɛ k t ɪ v
mucigenous	m j u s ɪ d͡ʒ ɪ n ə s
public	p ʌ b l ɪ k
pharmacological	f ɑ ɹ m ə k ə l ɔ d͡ʒ ɪ k ə l
snappy	s n æ p i
pamphlet	p æ m f l ɪ t
plastron	p l æ s t ɹ ə n
tasteful	t e ɪ s t f ə l
leal	l i l
mulligatawny	m ʌ l i ɡ ə t ɔ n i
hunting	h ʌ n t ɪ ŋ
cryptozoology	k ɹ ɪ p t o ʊ z o ʊ ɔ l ə d͡ʒ i
galore	ɡ ə l ɔ ɹ
crunchie	k ɹ ʌ n t͡ʃ i
forthset	f ɔ ɹ θ s ɛ t
happened	h æ p ə n d
vacuous	v æ k j u ə s
linty	l ɪ n t i
machoness	m ɑ t͡ʃ o n ə s
comprehensivization	k ɔ m p ɹ ɪ h ɛ n s ɪ v a ɪ z e ɪ ʃ ə n
gardenia	ɡ ɑ ɹ d i n j ə
mikveh	m ɪ k v ə
hoopy	h u p i
precisive	p ɹ i s a ɪ s ɪ v
monoamine	m ɔ n o ʊ e ɪ m i n
akasa	ɑ k ɑ ʃ ə
datary	d e ɪ t ə ɹ i
liar	l a ɪ ɚ
beaver	b i v ɚ
blacktop	b l æ k t ɔ p
megillah	m ə ɡ ɪ l ə
wail	w e ɪ l
condescension	k ɑ n d i s ɛ n ʃ ə n
aftereffect	æ f t ə ɹ ə f ɛ k t
majorette	m e ɪ d͡ʒ ə ɹ ɛ t
trashiness	t ɹ æ ʃ ɪ n ə s
underpitch	ʌ n d ə ɹ p ɪ t͡ʃ
stfandom	s t ɛ f æ n d ə m
percussive	p ɚ k ʌ s ɪ v
formalism	f ɔ ɹ m l̩ ɪ z m̩
bicrural	b a ɪ k ɹ ʊ ɹ ə l
jade	d͡ʒ e ɪ d
unbirthday	ʌ n b ɝ θ d e ɪ
cranial	k ɹ e ɪ n i ə l
brims	b ɹ ɪ m z
salian	s e ɪ l i ə n
warfare	w ɔ ɹ f ɛ ɹ
canola	k ə n o ʊ l ə
biscotto	b ɪ s k ɑ t o ʊ
eavesdrop	i v z d ɹ ɑ p
durbin	d ɜ ɹ b ɪ n
chesting	t͡ʃ ɛ s t ɪ ŋ
inveigh	ɪ n v e ɪ
criminalization	k ɹ ɪ m ɪ n ə l a ɪ z e ɪ ʃ ə n
shoelace	ʃ u l e ɪ s
homes	h o ʊ m z
synthesis	s ɪ n θ ə s ɪ s
stripe	s t͡ʃ ɹ ʌ ɪ p
mined	m a ɪ n d
some	s ʌ m
motivate	m o ʊ t ɪ v e ɪ t
bootsy	b u t s i
commonly	k ɑ m ə n l i
group	ɡ ɹ u p
knives	n a ɪ v z
chanter	t͡ʃ æ n t ɚ
eminently	ɛ m ɪ n ə n t l i
incontiguous	ɪ n k ə n t ɪ ɡ j u ə s
febricitant	f ɪ b ɹ ɪ s ɪ t ə n t
cardistry	k ɑ ɹ d ɪ s t ɹ i
emerald	ɛ m ə ɹ ə l d
abkhas	æ b k ɑ s
selena	s ə l i n ə
trek	t ɹ ɛ k
mecamylamine	m ɛ k ə m ɪ l ə m i n
astrand	ə s t ɹ æ n d
hydrolysate	h a ɪ d ɹ ɔ l ɪ s ə t
markets	m ɑ ɹ k ɪ t s
macedonia	m æ s ə d o ʊ n i ə
tater	t e ɪ t ɚ
cabana	k ə b æ n ə
iceberg	a ɪ s b ɝ ɡ
gingerbread	d͡ʒ ɪ n d͡ʒ ɚ b ɹ ɛ d
crazy	k ɹ e ɪ z i
hobo	h o ʊ b o ʊ
duplication	d j u p l ɪ k e ɪ ʃ ə n
krai	k ɹ a ɪ̯
donnybrook	d ɔ n ɪ b ɹ ʊ k
booky	b ʊ k i
exceed	ɪ k s i d
mascot	m æ s k ɑ t
statute	s t æ t͡ʃ u t
cywydd	k ʌ w ɪ ð
transmogrify	t ɹ æ n z m ɑ ɡ ɹ ɪ f a ɪ
morale	m ə ɹ æ l
saprophyte	s æ p ɹ o ʊ f a ɪ t
leis	l e ɪ z
winked	w ɪ ŋ k t
web	w ɛ b
standpoint	s t æ n d p ɔ ɪ n t
chaat	t͡ʃ ɑ t
spectral	s p ɛ k t ɹ ə ɫ
iproclozide	a ɪ p ɹ o ʊ k l ə z a ɪ d
apogee	æ p ə d͡ʒ i
clash	k l æ ʃ
anew	ə n u
later	l e ɪ t ɚ
ferm	f ɜ ɹ m
triassic	t ɹ a ɪ æ s ɪ k
floridian	f l ɔ ɹ ɪ d i ə n
clarithromycin	k l ə ɹ ɪ θ ɹ ə m a ɪ s n̩
trekkie	t ɹ ɛ k i
pictures	p ɪ k t͡ʃ ə z
parch	p ɑ ɹ t͡ʃ
odors	o ʊ d ɚ z
conlanging	k ɑ n l æ ŋ ɪ ŋ
epidendroid	ɛ p ɪ d ɛ n d ɹ ɔ ɪ d
paedobaptism	p ɛ d o ʊ b æ p t ɪ z ə m
weighted	w e ɪ t ɪ d
